model,prompt_version,category,file,seconds
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,72_md.md,25.794
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,73_md.md,10.101
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,85_md.md,2.797
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,86_md.md,31.668
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,88_md.md,24.462
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,93_md.md,8.779
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,94_md.md,13.21
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,99_md.md,3.984
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,100_md.md,16.014
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,101_md.md,7.997
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,102_md.md,52.442
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,103_md.md,12.315
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,104_md.md,38.998
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,107_md.md,5.325
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,115_md.md,3.508
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,116_md.md,11.42
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,120_md.md,11.04
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,121_md.md,18.08
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,122_md.md,26.401
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,123_md.md,20.501
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,124_md.md,11.68
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,125_md.md,9.522
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,126_md.md,5.352
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,127_md.md,6.566
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,128_md.md,19.827
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,129_md.md,18.358
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,133_md.md,35.403
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,134_md.md,10.526
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,136_md.md,28.142
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,137_md.md,15.413
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,142_md.md,5.825
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,147_md.md,8.446
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,148_md.md,7.04
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,149_md.md,9.621
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,151_md.md,18.213
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,153_md.md,7.92
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,154_md.md,16.159
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,156_md.md,12.203
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,157_md.md,10.355
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,158_md.md,21.708
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,159_md.md,11.338
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,161_md.md,25.475
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,162_md.md,12.711
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,163_md.md,10.0
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,164_md.md,7.237
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,166_md.md,3.69
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,167_md.md,4.297
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,168_md.md,7.034
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,169_md.md,14.93
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,170_md.md,1.617
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,171_md.md,32.229
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,174_md.md,9.175
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,175_md.md,14.794
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,176_md.md,14.505
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,177_md.md,7.123
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,179_md.md,18.626
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,180_md.md,16.785
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,186_md.md,5.821
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,187_md.md,189.706
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,188_md.md,20.042
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,189_md.md,33.758
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,190_md.md,62.368
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,191_md.md,8.298
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,192_md.md,16.19
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,193_md.md,57.715
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,194_md.md,78.494
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,195_md.md,5.633
qwen3.5-27b,anchor_v3,1_长篇结构化应用文档,198_md.md,52.102
qwen3.5-27b,anchor_v3,2_学术论文与专业文献,25_md.md,12.013
qwen3.5-27b,anchor_v3,2_学术论文与专业文献,27_md.md,14.382
qwen3.5-27b,anchor_v3,2_学术论文与专业文献,28_md.md,33.794
qwen3.5-27b,anchor_v3,2_学术论文与专业文献,29_md.md,8.817
qwen3.5-27b,anchor_v3,2_学术论文与专业文献,30_md.md,20.62
qwen3.5-27b,anchor_v3,2_学术论文与专业文献,33_md.md,16.022
qwen3.5-27b,anchor_v3,2_学术论文与专业文献,60_md.md,18.143
qwen3.5-27b,anchor_v3,2_学术论文与专业文献,105_md.md,17.422
qwen3.5-27b,anchor_v3,2_学术论文与专业文献,143_md.md,15.343
qwen3.5-27b,anchor_v3,2_学术论文与专业文献,150_md.md,8.659
qwen3.5-27b,anchor_v3,3_二维表格与日程数据,145_md.md,2.431
qwen3.5-27b,anchor_v3,3_二维表格与日程数据,160_md.md,6.678
qwen3.5-27b,anchor_v3,3_二维表格与日程数据,165_md.md,82.167
qwen3.5-27b,anchor_v3,6_纯信息罗列清单,21_md.md,3.549
qwen3.5-27b,anchor_v3,6_纯信息罗列清单,39_md.md,3.897
qwen3.5-27b,anchor_v3,6_纯信息罗列清单,58_md.md,114.136
qwen3.5-27b,anchor_v3,6_纯信息罗列清单,59_md.md,10.201
qwen3.5-27b,anchor_v3,6_纯信息罗列清单,80_md.md,9.169
qwen3.5-27b,anchor_v3,6_纯信息罗列清单,81_md.md,15.17
qwen3.5-27b,anchor_v3,6_纯信息罗列清单,82_md.md,8.883
qwen3.5-27b,anchor_v3,6_纯信息罗列清单,95_md.md,39.836
qwen3.5-27b,anchor_v3,6_纯信息罗列清单,106_md.md,5.21
qwen3.5-27b,anchor_v3,6_纯信息罗列清单,108_md.md,83.801
qwen3.5-27b,anchor_v3,6_纯信息罗列清单,109_md.md,2.941
qwen3.5-27b,anchor_v3,6_纯信息罗列清单,110_md.md,32.132
qwen3.5-27b,anchor_v3,6_纯信息罗列清单,111_md.md,110.622
qwen3.5-27b,anchor_v3,6_纯信息罗列清单,112_md.md,5.046
qwen3.5-27b,anchor_v3,6_纯信息罗列清单,113_md.md,51.572
qwen3.5-27b,anchor_v3,6_纯信息罗列清单,114_md.md,5.758
