model,prompt_version,category,file,seconds
qwen3.5-27b,baseline,1_长篇结构化应用文档,62_md.md,10.041
qwen3.5-27b,baseline,1_长篇结构化应用文档,63_md.md,3.078
qwen3.5-27b,baseline,1_长篇结构化应用文档,64_md.md,10.566
qwen3.5-27b,baseline,1_长篇结构化应用文档,67_md.md,10.157
qwen3.5-27b,baseline,1_长篇结构化应用文档,69_md.md,4.903
qwen3.5-27b,baseline,1_长篇结构化应用文档,70_md.md,12.782
qwen3.5-27b,baseline,1_长篇结构化应用文档,71_md.md,5.736
qwen3.5-27b,baseline,1_长篇结构化应用文档,72_md.md,5.255
qwen3.5-27b,baseline,1_长篇结构化应用文档,73_md.md,8.035
qwen3.5-27b,baseline,1_长篇结构化应用文档,85_md.md,2.869
qwen3.5-27b,baseline,1_长篇结构化应用文档,86_md.md,5.124
qwen3.5-27b,baseline,1_长篇结构化应用文档,88_md.md,5.795
qwen3.5-27b,baseline,1_长篇结构化应用文档,93_md.md,5.749
qwen3.5-27b,baseline,1_长篇结构化应用文档,94_md.md,7.238
qwen3.5-27b,baseline,1_长篇结构化应用文档,99_md.md,2.637
qwen3.5-27b,baseline,1_长篇结构化应用文档,100_md.md,5.981
qwen3.5-27b,baseline,1_长篇结构化应用文档,101_md.md,7.557
qwen3.5-27b,baseline,1_长篇结构化应用文档,102_md.md,3.382
qwen3.5-27b,baseline,1_长篇结构化应用文档,103_md.md,4.927
qwen3.5-27b,baseline,1_长篇结构化应用文档,104_md.md,9.394
qwen3.5-27b,baseline,1_长篇结构化应用文档,107_md.md,4.888
qwen3.5-27b,baseline,1_长篇结构化应用文档,115_md.md,2.469
qwen3.5-27b,baseline,1_长篇结构化应用文档,116_md.md,7.788
qwen3.5-27b,baseline,1_长篇结构化应用文档,120_md.md,11.149
qwen3.5-27b,baseline,1_长篇结构化应用文档,121_md.md,6.523
qwen3.5-27b,baseline,1_长篇结构化应用文档,122_md.md,15.395
qwen3.5-27b,baseline,1_长篇结构化应用文档,123_md.md,8.782
qwen3.5-27b,baseline,1_长篇结构化应用文档,124_md.md,10.243
qwen3.5-27b,baseline,1_长篇结构化应用文档,125_md.md,8.718
qwen3.5-27b,baseline,1_长篇结构化应用文档,126_md.md,4.344
qwen3.5-27b,baseline,1_长篇结构化应用文档,127_md.md,5.541
qwen3.5-27b,baseline,1_长篇结构化应用文档,128_md.md,7.525
qwen3.5-27b,baseline,1_长篇结构化应用文档,129_md.md,4.569
qwen3.5-27b,baseline,1_长篇结构化应用文档,133_md.md,5.705
qwen3.5-27b,baseline,1_长篇结构化应用文档,134_md.md,7.812
qwen3.5-27b,baseline,1_长篇结构化应用文档,136_md.md,21.473
qwen3.5-27b,baseline,1_长篇结构化应用文档,137_md.md,6.029
qwen3.5-27b,baseline,1_长篇结构化应用文档,142_md.md,5.492
qwen3.5-27b,baseline,1_长篇结构化应用文档,147_md.md,4.605
qwen3.5-27b,baseline,1_长篇结构化应用文档,148_md.md,4.721
qwen3.5-27b,baseline,1_长篇结构化应用文档,149_md.md,7.665
qwen3.5-27b,baseline,1_长篇结构化应用文档,151_md.md,4.99
qwen3.5-27b,baseline,1_长篇结构化应用文档,153_md.md,6.042
qwen3.5-27b,baseline,1_长篇结构化应用文档,154_md.md,7.345
qwen3.5-27b,baseline,1_长篇结构化应用文档,156_md.md,3.381
qwen3.5-27b,baseline,1_长篇结构化应用文档,157_md.md,8.164
qwen3.5-27b,baseline,1_长篇结构化应用文档,158_md.md,5.442
qwen3.5-27b,baseline,1_长篇结构化应用文档,159_md.md,8.707
qwen3.5-27b,baseline,1_长篇结构化应用文档,161_md.md,7.569
qwen3.5-27b,baseline,1_长篇结构化应用文档,162_md.md,1.945
qwen3.5-27b,baseline,1_长篇结构化应用文档,163_md.md,5.891
qwen3.5-27b,baseline,1_长篇结构化应用文档,164_md.md,18.159
qwen3.5-27b,baseline,1_长篇结构化应用文档,166_md.md,3.298
qwen3.5-27b,baseline,1_长篇结构化应用文档,167_md.md,4.093
qwen3.5-27b,baseline,1_长篇结构化应用文档,168_md.md,4.604
qwen3.5-27b,baseline,1_长篇结构化应用文档,169_md.md,6.542
qwen3.5-27b,baseline,1_长篇结构化应用文档,170_md.md,3.296
qwen3.5-27b,baseline,1_长篇结构化应用文档,171_md.md,5.298
qwen3.5-27b,baseline,1_长篇结构化应用文档,174_md.md,8.701
qwen3.5-27b,baseline,1_长篇结构化应用文档,175_md.md,18.626
qwen3.5-27b,baseline,1_长篇结构化应用文档,176_md.md,5.352
qwen3.5-27b,baseline,1_长篇结构化应用文档,177_md.md,5.979
qwen3.5-27b,baseline,1_长篇结构化应用文档,179_md.md,4.917
qwen3.5-27b,baseline,1_长篇结构化应用文档,180_md.md,13.122
qwen3.5-27b,baseline,1_长篇结构化应用文档,186_md.md,4.568
qwen3.5-27b,baseline,1_长篇结构化应用文档,187_md.md,8.644
qwen3.5-27b,baseline,1_长篇结构化应用文档,188_md.md,5.185
qwen3.5-27b,baseline,1_长篇结构化应用文档,189_md.md,16.918
qwen3.5-27b,baseline,1_长篇结构化应用文档,190_md.md,6.497
qwen3.5-27b,baseline,1_长篇结构化应用文档,191_md.md,6.465
qwen3.5-27b,baseline,1_长篇结构化应用文档,192_md.md,7.166
qwen3.5-27b,baseline,1_长篇结构化应用文档,193_md.md,4.664
qwen3.5-27b,baseline,1_长篇结构化应用文档,194_md.md,8.77
qwen3.5-27b,baseline,1_长篇结构化应用文档,195_md.md,4.564
qwen3.5-27b,baseline,1_长篇结构化应用文档,198_md.md,4.191
qwen3.5-27b,baseline,2_学术论文与专业文献,25_md.md,6.929
qwen3.5-27b,baseline,2_学术论文与专业文献,27_md.md,9.34
qwen3.5-27b,baseline,2_学术论文与专业文献,28_md.md,13.358
qwen3.5-27b,baseline,2_学术论文与专业文献,29_md.md,4.954
qwen3.5-27b,baseline,2_学术论文与专业文献,30_md.md,9.685
qwen3.5-27b,baseline,2_学术论文与专业文献,33_md.md,6.978
qwen3.5-27b,baseline,2_学术论文与专业文献,60_md.md,16.7
qwen3.5-27b,baseline,2_学术论文与专业文献,105_md.md,5.543
qwen3.5-27b,baseline,2_学术论文与专业文献,143_md.md,5.47
qwen3.5-27b,baseline,2_学术论文与专业文献,150_md.md,5.644
qwen3.5-27b,baseline,3_二维表格与日程数据,145_md.md,2.027
qwen3.5-27b,baseline,3_二维表格与日程数据,160_md.md,7.16
qwen3.5-27b,baseline,3_二维表格与日程数据,165_md.md,4.883
qwen3.5-27b,baseline,6_纯信息罗列清单,21_md.md,1.832
qwen3.5-27b,baseline,6_纯信息罗列清单,39_md.md,2.378
qwen3.5-27b,baseline,6_纯信息罗列清单,58_md.md,2.971
qwen3.5-27b,baseline,6_纯信息罗列清单,59_md.md,5.947
qwen3.5-27b,baseline,6_纯信息罗列清单,80_md.md,3.764
qwen3.5-27b,baseline,6_纯信息罗列清单,81_md.md,3.493
qwen3.5-27b,baseline,6_纯信息罗列清单,82_md.md,7.031
qwen3.5-27b,baseline,6_纯信息罗列清单,95_md.md,30.054
qwen3.5-27b,baseline,6_纯信息罗列清单,106_md.md,1.483
qwen3.5-27b,baseline,6_纯信息罗列清单,108_md.md,6.759
qwen3.5-27b,baseline,6_纯信息罗列清单,109_md.md,2.004
qwen3.5-27b,baseline,6_纯信息罗列清单,110_md.md,16.467
qwen3.5-27b,baseline,6_纯信息罗列清单,111_md.md,8.328
qwen3.5-27b,baseline,6_纯信息罗列清单,112_md.md,1.46
qwen3.5-27b,baseline,6_纯信息罗列清单,113_md.md,7.308
qwen3.5-27b,baseline,6_纯信息罗列清单,114_md.md,5.767
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,4_md.md,4.324
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,5_md.md,2.446
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,9_md.md,7.651
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,10_md.md,12.004
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,11_md.md,8.404
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,12_md.md,11.985
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,13_md.md,17.317
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,14_md.md,6.041
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,16_md.md,19.509
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,17_md.md,7.439
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,18_md.md,12.816
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,19_md.md,4.286
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,20_md.md,2.741
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,31_md.md,15.374
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,32_md.md,12.74
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,36_md.md,2.836
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,38_md.md,8.208
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,40_md.md,12.357
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,41_md.md,3.975
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,43_md.md,8.392
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,44_md.md,2.57
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,48_md.md,2.015
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,54_md.md,6.574
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,55_md.md,10.3
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,56_md.md,3.737
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,57_md.md,5.462
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,61_md.md,3.22
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,62_md.md,6.235
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,63_md.md,2.324
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,64_md.md,6.613
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,67_md.md,8.711
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,69_md.md,3.405
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,70_md.md,8.881
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,71_md.md,6.632
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,72_md.md,6.932
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,73_md.md,7.138
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,85_md.md,6.631
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,86_md.md,7.681
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,88_md.md,5.597
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,93_md.md,5.096
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,94_md.md,5.477
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,99_md.md,5.048
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,100_md.md,5.291
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,101_md.md,7.403
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,102_md.md,3.351
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,103_md.md,5.825
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,104_md.md,4.002
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,107_md.md,4.412
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,115_md.md,2.3
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,116_md.md,7.686
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,120_md.md,7.406
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,121_md.md,5.393
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,122_md.md,10.054
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,123_md.md,8.31
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,124_md.md,10.127
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,125_md.md,5.668
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,126_md.md,3.29
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,127_md.md,13.071
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,128_md.md,7.036
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,129_md.md,4.87
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,133_md.md,18.424
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,134_md.md,5.833
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,136_md.md,25.246
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,137_md.md,16.325
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,142_md.md,4.384
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,147_md.md,5.184
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,148_md.md,5.743
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,149_md.md,6.572
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,151_md.md,5.193
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,153_md.md,5.639
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,154_md.md,5.83
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,156_md.md,3.483
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,157_md.md,3.946
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,158_md.md,5.961
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,159_md.md,5.552
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,161_md.md,6.467
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,162_md.md,2.946
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,163_md.md,5.692
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,164_md.md,3.038
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,166_md.md,3.331
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,167_md.md,2.81
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,168_md.md,3.788
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,169_md.md,5.668
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,170_md.md,1.477
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,171_md.md,4.766
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,174_md.md,5.047
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,175_md.md,7.169
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,176_md.md,5.11
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,177_md.md,7.424
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,179_md.md,9.546
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,180_md.md,7.888
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,186_md.md,6.467
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,187_md.md,11.069
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,188_md.md,6.101
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,189_md.md,10.437
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,190_md.md,5.203
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,191_md.md,5.536
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,192_md.md,7.428
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,193_md.md,2.646
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,194_md.md,7.987
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,195_md.md,3.119
qwen3.5-27b,anchor_v2,1_长篇结构化应用文档,198_md.md,3.762
qwen3.5-27b,anchor_v2,2_学术论文与专业文献,25_md.md,4.385
qwen3.5-27b,anchor_v2,2_学术论文与专业文献,27_md.md,10.164
qwen3.5-27b,anchor_v2,2_学术论文与专业文献,28_md.md,11.109
qwen3.5-27b,anchor_v2,2_学术论文与专业文献,29_md.md,7.684
qwen3.5-27b,anchor_v2,2_学术论文与专业文献,30_md.md,10.334
qwen3.5-27b,anchor_v2,2_学术论文与专业文献,33_md.md,13.871
qwen3.5-27b,anchor_v2,2_学术论文与专业文献,60_md.md,7.022
qwen3.5-27b,anchor_v2,2_学术论文与专业文献,105_md.md,5.669
qwen3.5-27b,anchor_v2,2_学术论文与专业文献,143_md.md,8.561
qwen3.5-27b,anchor_v2,2_学术论文与专业文献,150_md.md,6.035
qwen3.5-27b,anchor_v2,3_二维表格与日程数据,145_md.md,2.058
qwen3.5-27b,anchor_v2,3_二维表格与日程数据,160_md.md,4.634
qwen3.5-27b,anchor_v2,3_二维表格与日程数据,165_md.md,4.667
qwen3.5-27b,anchor_v2,6_纯信息罗列清单,21_md.md,1.723
qwen3.5-27b,anchor_v2,6_纯信息罗列清单,39_md.md,2.13
qwen3.5-27b,anchor_v2,6_纯信息罗列清单,58_md.md,7.752
qwen3.5-27b,anchor_v2,6_纯信息罗列清单,59_md.md,8.556
qwen3.5-27b,anchor_v2,6_纯信息罗列清单,80_md.md,9.395
qwen3.5-27b,anchor_v2,6_纯信息罗列清单,81_md.md,6.713
qwen3.5-27b,anchor_v2,6_纯信息罗列清单,82_md.md,5.591
qwen3.5-27b,anchor_v2,6_纯信息罗列清单,95_md.md,29.37
qwen3.5-27b,anchor_v2,6_纯信息罗列清单,106_md.md,7.694
qwen3.5-27b,anchor_v2,6_纯信息罗列清单,108_md.md,20.776
qwen3.5-27b,anchor_v2,6_纯信息罗列清单,109_md.md,2.16
qwen3.5-27b,anchor_v2,6_纯信息罗列清单,110_md.md,26.072
qwen3.5-27b,anchor_v2,6_纯信息罗列清单,111_md.md,13.293
qwen3.5-27b,anchor_v2,6_纯信息罗列清单,112_md.md,1.252
qwen3.5-27b,anchor_v2,6_纯信息罗列清单,113_md.md,49.261
qwen3.5-27b,anchor_v2,6_纯信息罗列清单,114_md.md,14.467
